id,code,code_name,f_code,f_time_from,f_time_to,f_price,fees,total_price,from,airport_from,to,airport_to,type
vna161698471513,vna,Vietnam Airlines,VN214,14:00:00 01/04/2021,16:10:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-E
vj161698471810,vj,Vietjet,VJ136,14:05:00 01/04/2021,16:10:00 01/04/2021,409000,661900,1070900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698472214,vna,Pacific Airlines,VN6014,14:40:00 01/04/2021,16:55:00 01/04/2021,1209000,741000,1950000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-N
qh16169847254,qh,Bamboo Airways,QH242,14:55:00 01/04/2021,17:05:00 01/04/2021,399000,672000,1071000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco Saver
vna161698472915,vna,Vietnam Airlines,VN266,15:00:00 01/04/2021,17:10:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-E
vj161698473211,vj,Vietjet,VJ152,15:10:00 01/04/2021,17:15:00 01/04/2021,409000,661900,1070900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vj161698473512,vj,Vietjet,VJ138,15:40:00 01/04/2021,18:00:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698473916,vna,Vietnam Airlines,VN216,16:00:00 01/04/2021,18:10:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-E
vna161698474217,vna,Pacific Airlines,VN6016,16:15:00 01/04/2021,18:35:00 01/04/2021,609000,681000,1290000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-T
vj161698474613,vj,Vietjet,VJ162,16:35:00 01/04/2021,18:40:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698474918,vna,Vietnam Airlines,VN272,17:00:00 01/04/2021,19:10:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-E
vta16169847531,vta,Vietravel Airlines,VU 780,17:55:00 01/04/2021,19:55:00 01/04/2021,290000,660000,950000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Aregow (A) - Vé không hoàn
vna161698475619,vna,Vietnam Airlines,VN218,18:00:00 01/04/2021,20:10:00 01/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
qh16169847605,qh,Bamboo Airways,QH246,18:10:00 01/04/2021,20:20:00 01/04/2021,399000,672000,1071000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco Saver
vj161698476314,vj,Vietjet,VJ158,18:15:00 01/04/2021,20:25:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698476620,vna,Vietnam Airlines,VN280,19:00:00 01/04/2021,21:10:00 01/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vj161698476915,vj,Vietjet,VJ178,19:10:00 01/04/2021,21:15:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698477321,vna,Pacific Airlines,VN6020,19:20:00 01/04/2021,21:25:00 01/04/2021,199000,660000,859000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vj161698477616,vj,Vietjet,VJ156,19:35:00 01/04/2021,21:40:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698477922,vna,Vietnam Airlines,VN220,20:00:00 01/04/2021,22:10:00 01/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vj161698478317,vj,Vietjet,VJ146,20:15:00 01/04/2021,22:20:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698478623,vna,Pacific Airlines,VN6022,20:30:00 01/04/2021,22:55:00 01/04/2021,199000,660000,859000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vna161698478924,vna,Vietnam Airlines,VN286,21:00:00 01/04/2021,23:10:00 01/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
qh16169847936,qh,Bamboo Airways,QH280,21:00:00 01/04/2021,23:10:00 01/04/2021,399000,672000,1071000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco Saver
vj161698479718,vj,Vietjet,VJ160,21:20:00 01/04/2021,23:35:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698480025,vna,Pacific Airlines,VN6024,21:30:00 01/04/2021,23:25:00 01/04/2021,99000,660000,759000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-A
vna161698480426,vna,Vietnam Airlines,VN224,22:00:00 01/04/2021,00:10:00 02/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
qh16169848077,qh,Bamboo Airways,QH244,22:10:00 01/04/2021,00:20:00 01/04/2021,399000,672000,1071000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco Saver
vj161698481119,vj,Vietjet,VJ170,22:15:00 01/04/2021,00:25:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698481427,vna,Vietnam Airlines,VN288,22:30:00 01/04/2021,00:40:00 02/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vj161698481820,vj,Vietjet,VJ194,22:55:00 01/04/2021,01:05:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vj161698482121,vj,Vietjet,VJ164,23:40:00 01/04/2021,01:50:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna16169848340,vna,Vietnam Airlines,VN205,05:00:00 01/04/2021,07:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj16169848410,vj,Vietjet,VJ135,05:10:00 01/04/2021,07:20:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
qh16169848450,qh,Bamboo Airways,QH201,05:50:00 01/04/2021,07:55:00 01/04/2021,299000,672000,971000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco Saver
vta16169848480,vta,Vietravel Airlines,VU 751,05:55:00 01/04/2021,08:10:00 01/04/2021,390000,660000,1050000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Bregow (B) - Vé không hoàn
vna16169848511,vna,Vietnam Airlines,VN245,06:00:00 01/04/2021,08:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj16169848551,vj,Vietjet,VJ125,06:10:00 01/04/2021,08:10:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna16169848582,vna,Pacific Airlines,VN6003,06:20:00 01/04/2021,08:55:00 01/04/2021,199000,660000,859000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj16169848612,vj,Vietjet,VJ127,06:45:00 01/04/2021,09:00:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna16169848653,vna,Vietnam Airlines,VN207,07:00:00 01/04/2021,09:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj16169848683,vj,Vietjet,VJ147,07:45:00 01/04/2021,10:00:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
qh16169848711,qh,Bamboo Airways,QH203,07:50:00 01/04/2021,10:00:00 01/04/2021,399000,672000,1071000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco Saver
vna16169848754,vna,Vietnam Airlines,VN243,08:00:00 01/04/2021,10:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vna16169848785,vna,Pacific Airlines,VN6009,08:30:00 01/04/2021,10:45:00 01/04/2021,199000,660000,859000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj16169848814,vj,Vietjet,VJ129,08:35:00 01/04/2021,10:20:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vj16169848845,vj,Vietjet,VJ153,08:50:00 01/04/2021,11:10:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna16169848886,vna,Vietnam Airlines,VN209,09:00:00 01/04/2021,11:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj16169848916,vj,Vietjet,VJ123,09:30:00 01/04/2021,11:45:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vj16169848947,vj,Vietjet,VJ137,09:45:00 01/04/2021,11:55:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna16169848987,vna,Pacific Airlines,VN6005,10:00:00 01/04/2021,12:05:00 01/04/2021,609000,681000,1290000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EC)-T
vna16169849018,vna,Vietnam Airlines,VN251,10:00:00 01/04/2021,12:15:00 01/04/2021,509000,671000,1180000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EC)-E
qh16169849042,qh,Bamboo Airways,QH211,10:05:00 01/04/2021,12:15:00 01/04/2021,599000,682000,1281000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco Saver
vj16169849088,vj,Vietjet,VJ133,10:15:00 01/04/2021,12:25:00 01/04/2021,1338000,744800,2082800,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),SkyBoss
vna16169849119,vna,Vietnam Airlines,VN211,11:00:00 01/04/2021,13:15:00 01/04/2021,509000,671000,1180000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EC)-E
vj16169849149,vj,Vietjet,VJ145,11:20:00 01/04/2021,13:30:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698491810,vna,Pacific Airlines,VN6011,11:25:00 01/04/2021,13:50:00 01/04/2021,199000,660000,859000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vna161698492211,vna,Vietnam Airlines,VN257,12:00:00 01/04/2021,14:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj161698492510,vj,Vietjet,VJ121,12:20:00 01/04/2021,14:30:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vj161698492911,vj,Vietjet,VJ139,12:55:00 01/04/2021,15:05:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698493212,vna,Vietnam Airlines,VN213,13:00:00 01/04/2021,15:15:00 01/04/2021,509000,671000,1180000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EC)-E
vj161698493612,vj,Vietjet,VJ141,13:50:00 01/04/2021,16:05:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698493913,vna,Vietnam Airlines,VN263,14:00:00 01/04/2021,16:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
qh16169849433,qh,Bamboo Airways,QH241,14:10:00 01/04/2021,16:15:00 01/04/2021,599000,682000,1281000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco Saver
vj161698494713,vj,Vietjet,VJ165,14:55:00 01/04/2021,17:20:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698495014,vna,Vietnam Airlines,VN215,15:00:00 01/04/2021,17:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj161698495414,vj,Vietjet,VJ167,15:30:00 01/04/2021,17:35:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698495715,vna,Pacific Airlines,VN6015,15:40:00 01/04/2021,17:45:00 01/04/2021,1209000,741000,1950000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EC)-N
vna161698496116,vna,Vietnam Airlines,VN269,16:00:00 01/04/2021,18:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj161698496515,vj,Vietjet,VJ189,16:15:00 01/04/2021,18:25:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698496817,vna,Vietnam Airlines,VN7211,16:35:00 01/04/2021,18:50:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vna161698497218,vna,Vietnam Airlines,VN217,17:00:00 01/04/2021,19:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vna161698497519,vna,Pacific Airlines,VN6017,17:40:00 01/04/2021,19:45:00 01/04/2021,199000,660000,859000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
qh16169849794,qh,Bamboo Airways,QH245,17:55:00 01/04/2021,20:05:00 01/04/2021,599000,682000,1281000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco Saver
vna161698498220,vna,Vietnam Airlines,VN275,18:00:00 01/04/2021,20:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj161698498516,vj,Vietjet,VJ143,18:25:00 01/04/2021,20:35:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698498921,vna,Vietnam Airlines,VN219,19:00:00 01/04/2021,21:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj161698499317,vj,Vietjet,VJ155,19:20:00 01/04/2021,21:30:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698499722,vna,Pacific Airlines,VN6019,19:25:00 01/04/2021,21:45:00 01/04/2021,199000,660000,859000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
qh16169850015,qh,Bamboo Airways,QH247,19:45:00 01/04/2021,21:55:00 01/04/2021,399000,672000,1071000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco Saver
vna161698500423,vna,Vietnam Airlines,VN283,20:00:00 01/04/2021,22:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vta16169850071,vta,Vietravel Airlines,VU 787,20:55:00 01/04/2021,23:25:00 01/04/2021,290000,660000,950000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Aregow (A) - Vé không hoàn
vj161698501118,vj,Vietjet,VJ151,21:00:00 01/04/2021,23:10:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698501424,vna,Vietnam Airlines,VN221,21:00:00 01/04/2021,23:15:00 01/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
qh16169850186,qh,Bamboo Airways,QH281,21:15:00 01/04/2021,23:25:00 01/04/2021,299000,672000,971000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco Saver
vna161698502125,vna,Pacific Airlines,VN6021,21:25:00 01/04/2021,23:30:00 01/04/2021,199000,660000,859000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj161698502519,vj,Vietjet,VJ179,21:50:00 01/04/2021,00:00:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vna161698502826,vna,Vietnam Airlines,VN253,22:00:00 01/04/2021,00:15:00 02/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vna161698503127,vna,Pacific Airlines,VN6023,22:15:00 01/04/2021,00:15:00 02/04/2021,99000,660000,759000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-A
vna161698503528,vna,Vietnam Airlines,VN289,22:30:00 01/04/2021,00:45:00 02/04/2021,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P
vj161698503820,vj,Vietjet,VJ159,22:35:00 01/04/2021,00:30:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
vj161698504221,vj,Vietjet,VJ149,22:50:00 01/04/2021,01:00:00 01/04/2021,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco
qh16169850457,qh,Bamboo Airways,QH243,23:05:00 01/04/2021,01:15:00 01/04/2021,399000,672000,1071000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco Saver
vj16169850560,vj,Vietjet,VJ270,05:40:00 01/04/2021,07:40:00 01/04/2021,299000,660900,959900,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Eco
vna16169850660,vna,Vietnam Airlines,VN1180,07:10:00 01/04/2021,09:15:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Economy (EC)-E
vna16169850691,vna,Vietnam Airlines,VN1182,08:40:00 01/04/2021,10:45:00 01/04/2021,609000,681000,1290000,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Economy (EC)-T
vj16169850721,vj,Vietjet,VJ276,09:40:00 01/04/2021,11:40:00 01/04/2021,409000,661900,1070900,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Eco
vna16169850762,vna,Vietnam Airlines,VN1184,10:45:00 01/04/2021,12:50:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Economy (EC)-E
vj16169850792,vj,Vietjet,VJ280,11:45:00 01/04/2021,13:35:00 01/04/2021,299000,660900,959900,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Eco
vj16169850823,vj,Vietjet,VJ282,12:30:00 01/04/2021,14:30:00 01/04/2021,299000,660900,959900,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Eco
qh16169850860,qh,Bamboo Airways,QH1544,12:40:00 01/04/2021,14:40:00 01/04/2021,399000,672000,1071000,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Eco Saver
vna16169850903,vna,Vietnam Airlines,VN1176,14:25:00 01/04/2021,16:30:00 01/04/2021,2829000,903000,3732000,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Economy (EG)-M
vj16169850934,vj,Vietjet,VJ272,15:25:00 01/04/2021,17:20:00 01/04/2021,299000,660900,959900,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Eco
